backlog_id,issue,sample_or_scope,source_phase,category,why_deferred,recommended_future_phase,priority,notes
BL-001,support_selection close-margin capacity cutoff,ent_058,21A-9Y,support_selection,Score margin < 20% but capacity+1 rule insufficient. Section-priority-aware expansion would help but riskier.,Phase 21B,medium,"Generic support_selector improvement, not sample-specific."
BL-002,branch query context enhancement for retrieval,ent_083,21A-9Y,branch_query_context,"Branch query enrichment requires broader design, not a parser bug. 9Q parser fix is correct.",Phase 21B,medium,9Q fix verified; remaining is retrieval gap.
BL-003,expected doc score too low for support retention,ent_094,21A-9Y,support_selection,Score negative (-0.80). Forcing retention risks wrong-doc citation. Not fixable with generic rule.,Phase 21B,low,Edge case. May need per-doc scoring adjustment.
BL-004,support_selection close-margin for replacement sample,p21a9v2_fact_001,21A-9Y,support_selection,Analogous to BL-001. Generic support_selector improvement needed.,Phase 21B,medium,
BL-005,retrieval_doc_miss: query-doc matching for replacement sample,p21a9v2_fact_002,21A-9Y,retrieval_query_doc_matching,Not a pipeline support/citation bug. Query-doc matching or question formulation issue.,Phase 21B,low,P2 — question and doc may need better alignment.
BL-006,retrieval_doc_miss: query-doc matching for replacement sample,p21a9v2_fact_004,21A-9Y,retrieval_query_doc_matching,"Same as BL-005. Retrieval recall, not pipeline bug.",Phase 21B,low,P2 — question and doc may need better alignment.
BL-007,"RAGAS metric adaptation: BGE-M3 relevancy scale, judge strictness, reference format",evaluation_methodology,Phase 21A-R2/R2A,ragas_metric_adaptation,"Evaluator issues, not pipeline issues. Separate evaluation methodology phase needed.",Phase 21B-Eval,medium,"Requires: BGE-M3 calibration or LLM-judge switch, reference answer construction, threshold tuning."
BL-008,answer_correctness reference answer construction,100 eligible samples,Phase 21A-R2,reference_answer_building,expected_answer field too descriptive/empty for RAGAS correctness metric. Need concise factual reference answers.,Phase 21B-Eval,low,Can leverage answer_key metadata where available.
BL-009,PDF parser / table / figure / double-column cleanup,all documents,Phase 20-21A,pdf_parser_cleanup,Parser improvements are a separate scope from Phase 21A code fixes. Table/figure parsing affects retrieval quality broadly.,Phase 21B,high,Known issue from Phase 20. Table/figure content extraction quality affects retrieval.
BL-010,Negative abstention detector improvement,"ent_021, ent_092",Phase 21A-R2A,other,Detector missed partial-abstain template. Not a generation failure. Low priority — samples still have citation=0.,Phase 21B,low,Add fallback_partial and other abstain phrases to detector keyword list.
