doc_id,block_id,inferred_block_type,caption_text,protect_reason,review_label,rationale,recommended_5d3_protection_pattern
doc_0007,p6_b0128,table_caption,Table 2. Yuroff et al.,short_caption_with_semantic_anchor,uncertain,Short caption has limited content and no configured semantic anchor in the sampled review.,manual_review_for_sparse_short_caption
doc_0045,p2_b0021,table_caption,"Table 1 | Humanization of N-glycans in P. pastoris. Selected stud- ies focusing on the humanization of the N-glycans on P. pastoris derived glycoproteins. Bmt, b-mannosyltransferase; Mns, manno- sidase; GnT, b-N-acetylglucosaminyltransferase; UDP-GlcNAc, uridine diphosphate-N-acetylglucosamine; OCH1, outer chain elongation gene 1 content",approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0071,p10_b0084,table_caption,Table S1. The primers were shown in Table S2.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): primer, primers.",semantic_anchor_words
doc_0090,p24_b0299,table_caption,Table 7. GEFIs for measuring kinase activity. blueAKAR cpBFP PKA substrate/ FHA1 from AKAR −21% blueCKAR cpBFP −23% cyan-sinphos cpECFP −10% green-sinphos ExRai-AKAR PKA 185% ExRai-CKAR 155% ExRai-AktAR PKB activity PKB 93% yellow-sinphos cpCitrine sapphireAKAR cp-T-sapphire PKA −25% sapphireCKAR cp-T-sapphire −33% The raw colors refer to the colors of fluorescent proteins used as reporter domains.,approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0110,p13_b0088,table_caption,TABLE 1 Primers used in this study,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): primer, primers.",semantic_anchor_words
doc_0125,p8_b0057,table_caption,Table 1 Comparison of enzymatic syntheses of LNT2 and LNnT.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): comparison.,semantic_anchor_words
doc_0147,p2_b0025,table_caption,Table S2. The Cre/lox system was used for gene integration into the genome.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): gene.,semantic_anchor_words
doc_0154,p5_b0053,table_caption,Table 2. Recent advances in the production of full-length antibodies in Escherichia coli.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): production.,semantic_anchor_words
doc_0167,p2_b0019,table_caption,Table 1. All primers used for plasmid construction are listed in Table S1.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): construct, list, plasmid, primer, primers.",semantic_anchor_words
doc_0184,p17_b0145,table_caption,Table S2 (mBio00617-23-S0008.xlsx). The expression levels of predicted GPI proteins.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): expression, protein, proteins.",semantic_anchor_words
doc_0196,p4_b0039,table_caption,Table 1 Strains and plasmids constructed in this study Strains,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): construct, plasmid, plasmids, strain, strains.",semantic_anchor_words
doc_0217,p4_b0072,table_caption,Table 2. Shake flask level expression of positive transformants.,short_caption_with_semantic_anchor,correctly_protected,Contains semantic caption anchor(s): expression.,semantic_anchor_words
doc_0238,p13_b0193,table_caption,Table 3. Och1 compared to PDB glycosyltransferases in complex with high-mannose substrate.,short_caption_with_semantic_anchor,correctly_protected,Short but descriptive enough to be a real caption title/body.,minimum_descriptive_content
doc_0256,p13_b0072,table_caption,"Table 2: Summary of the effect of 2’FL on GII.4 Sydney [P16] HuNoV replication. List of HIE lines, segment of origin and their respective age are shown. Average log10 fold increase in the absence of 2’FL and with 20 mg/ml 2’FL (percentage reduction) is shown. was not certified by peer review) is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made",approved_eval_target_chunk,correctly_protected,Approved/known-good evidence should remain protected unless manually superseded.,approved_eval_or_known_good_anchor
doc_0296,p2_b0016,table_caption,Table 1. Bacterial strains and plasmids used in this study.,short_caption_with_semantic_anchor,correctly_protected,"Contains semantic caption anchor(s): plasmid, plasmids, strain, strains.",semantic_anchor_words
